date,adjClose,change,changeOverTime,changePercent,close,high,label,low,open,unadjustedVolume,volume,vwap
2020-03-16,25.32,-1.16,-0.04381,-4.381,25.32,26.95,"March 16, 20",25.32,26.48,11053900.000000002,11053900.000000002,25.86333
2020-03-13,30.08,-1.58,-0.04991,-4.991,30.08,31.68,"March 13, 20",27.66,31.66,17654300.0,17654300.0,29.80667
2020-03-12,29.33,-2.51,-0.07883000000000001,-7.883,29.33,31.87,"March 12, 20",28.6,31.84,14500700.0,14500700.0,29.93333
2020-03-11,34.49,-0.89,-0.025160000000000002,-2.516,34.49,35.76,"March 11, 20",34.1,35.38,11957400.0,11957400.0,34.78333
2020-03-10,36.96,-0.8200000000000001,-0.0217,-2.17,36.96,37.88,"March 10, 20",35.0,37.78,13496200.0,13496200.0,36.61333
2020-03-09,34.68,-1.57,-0.04331,-4.331,34.68,36.83,"March 09, 20",34.41,36.25,19487500.0,19487500.0,35.30667
2020-03-06,41.87,-0.8300000000000001,-0.019440000000000002,-1.944,41.87,42.95,"March 06, 20",41.67,42.7,10366300.0,10366300.0,42.16333
2020-03-05,43.73,-0.54,-0.0122,-1.22,43.73,44.42,"March 05, 20",43.47,44.27,7743400.0,7743400.0,43.87333
2020-03-04,45.3,0.09,0.00199,0.199,45.3,45.35,"March 04, 20",44.64,45.21,5387000.0,5387000.0,45.09667
2020-03-03,43.96,-1.62,-0.03554,-3.5540000000000003,43.96,46.02,"March 03, 20",43.75,45.58,10109100.0,10109100.0,44.57667
2020-03-02,44.83,0.77,0.017480000000000002,1.748,44.83,44.92,"March 02, 20",43.47,44.06,10208600.000000002,10208600.000000002,44.40667
2020-02-28,44.03,1.12,0.0261,2.61,44.03,44.04,"February 28, 20",42.11,42.91,12388900.0,12388900.0,43.39333
2020-02-27,43.94,-0.89,-0.019850000000000003,-1.9849999999999999,43.94,45.32,"February 27, 20",43.94,44.83,10472400.0,10472400.0,44.4
2020-02-26,45.75,-0.39,-0.008450000000000001,-0.845,45.75,46.58,"February 26, 20",45.74,46.14,5935800.0,5935800.0,46.02333
2020-02-25,45.9,-1.16,-0.024650000000000002,-2.465,45.9,47.28,"February 25, 20",45.68,47.06,6949600.0,6949600.0,46.28667
2020-02-24,47.28,0.39,0.008320000000000001,0.8320000000000001,47.28,47.63,"February 24, 20",46.89,46.89,8705500.0,8705500.0,47.26667
2020-02-21,49.17,0.11,0.0022400000000000002,0.224,49.17,49.31,"February 21, 20",48.76,49.06,5515600.0,5515600.0,49.08
2020-02-20,49.62,-0.45,-0.008990000000000001,-0.899,49.62,50.21,"February 20, 20",49.52,50.07,6078100.0,6078100.0,49.78333
2020-02-19,50.22,-0.04,-0.0008,-0.08,50.22,50.42,"February 19, 20",50.15,50.26,4628100.0,4628100.0,50.26333
2020-02-18,50.21,0.19,0.0038,0.38,50.21,50.31,"February 18, 20",49.95,50.02,3781600.0,3781600.0,50.15667
2020-02-14,50.49,-0.43,-0.008440000000000001,-0.844,50.49,50.99,"February 14, 20",50.23,50.92,4830400.0,4830400.0,50.57
2020-02-13,50.99,-0.17,-0.0033200000000000005,-0.332,50.99,51.36,"February 13, 20",50.78,51.16,5050100.0,5050100.0,51.04333
2020-02-12,51.71,0.07,0.00133,0.133,52.65,52.8,"February 12, 20",52.3,52.58,4397300.0,4397300.0,52.58333
2020-02-11,51.06,0.16,0.0030900000000000003,0.309,51.99,52.04,"February 11, 20",51.63,51.83,4447300.0,4447300.0,51.88667
2020-02-10,50.47,0.07,0.00136,0.136,51.39,51.46,"February 10, 20",51.17,51.32,4003300.0,4003300.0,51.34
2020-02-07,50.87,0.06,0.00116,0.116,51.79,52.02,"February 07, 20",51.63,51.73,3841000.0,3841000.0,51.81333
2020-02-06,51.21,-0.45,-0.00856,-0.856,52.14,52.65,"February 06, 20",52.02,52.59,4212300.0,4212300.0,52.27
2020-02-05,52.0,-0.03,-0.0005700000000000001,-0.057,52.95,53.09,"February 05, 20",52.73,52.98,5308300.0,5308300.0,52.92333
2020-02-04,50.73,-0.33,-0.006350000000000001,-0.635,51.65,52.21,"February 04, 20",51.59,51.98,5737300.0,5737300.0,51.81667
2020-02-03,50.33,-0.14,-0.00272,-0.272,51.24,51.68,"February 03, 20",51.05,51.38,9734000.0,9734000.0,51.32333
2020-01-31,51.22,-0.63,-0.011940000000000001,-1.194,52.15,52.93,"January 31, 20",51.83,52.78,8654800.0,8654800.0,52.30333
2020-01-30,52.88,-0.11,-0.00204,-0.20400000000000001,53.84,54.01,"January 30, 20",52.93,53.95,13942500.0,13942500.0,53.59333
2020-01-29,54.74,0.04,0.00072,0.07200000000000001,55.73,55.81,"January 29, 20",55.45,55.69,4032000.0,4032000.0,55.66333
2020-01-28,54.92,0.12,0.00215,0.215,55.92,56.06,"January 28, 20",55.74,55.8,3307700.0,3307700.0,55.90667
2020-01-27,55.09,-0.06,-0.00107,-0.107,56.09,56.38,"January 27, 20",55.89,56.15,3308700.0,3308700.0,56.12
2020-01-24,56.15,-0.17,-0.0029600000000000004,-0.296,57.17,57.38,"January 24, 20",56.88,57.34,3015800.0,3015800.0,57.14333
2020-01-23,56.38,0.32,0.00561,0.561,57.4,57.43,"January 23, 20",56.78,57.08,2772900.0,2772900.0,57.20333
2020-01-22,56.41,-0.34,-0.005880000000000001,-0.588,57.44,57.78,"January 22, 20",57.36,57.78,3300700.0,3300700.0,57.52667
2020-01-21,56.43,-0.42,-0.007260000000000001,-0.726,57.46,57.91,"January 21, 20",57.46,57.88,2942600.0,2942600.0,57.61
2020-01-17,57.49,-0.24,-0.00408,-0.40800000000000003,58.54,58.81,"January 17, 20",58.45,58.78,2478500.0,2478500.0,58.6
2020-01-16,57.72,-0.41000000000000003,-0.00693,-0.6930000000000001,58.77,59.24,"January 16, 20",58.67,59.18,2735400.0,2735400.0,58.89333
2020-01-15,57.77,0.02,0.00034,0.034,58.82,58.97,"January 15, 20",58.59,58.8,3500000.0,3500000.0,58.79333
2020-01-14,57.87,0.12,0.00204,0.20400000000000001,58.92,58.95,"January 14, 20",58.6,58.8,2259600.0,2259600.0,58.82333
2020-01-13,57.91,0.16,0.00272,0.272,58.96,59.1,"January 13, 20",58.58,58.8,2981100.0,2981100.0,58.88
2020-01-10,57.96,-0.32,-0.005390000000000001,-0.539,59.01,59.35,"January 10, 20",58.99,59.33,2622200.0,2622200.0,59.11667
2020-01-09,58.61,0.23,0.00387,0.387,59.68,59.75,"January 09, 20",59.01,59.45,2834300.0,2834300.0,59.48
2020-01-08,58.62,-0.12,-0.00201,-0.201,59.69,59.93,"January 08, 20",59.4,59.81,2965800.0,2965800.0,59.67333
2020-01-07,59.32,0.05,0.0008300000000000001,0.083,60.4,60.43,"January 07, 20",59.83,60.35,2683500.0,2683500.0,60.22
2020-01-06,59.87,0.0,0.0,0.0,60.96,61.17,"January 06, 20",60.69,60.96,3250100.0,3250100.0,60.94
2020-01-03,59.14,0.33,0.00551,0.551,60.21,60.35,"January 03, 20",59.88,59.88,3713000.0,3713000.0,60.14667
2020-01-02,58.67,0.28,0.004710000000000001,0.47100000000000003,59.74,59.77,"January 02, 20",59.24,59.46,3084700.0,3084700.0,59.58333
2019-12-31,57.93,0.24,0.004090000000000001,0.40900000000000003,58.98,58.98,"December 31, 19",58.56,58.74,1864200.0,1864200.0,58.84
2019-12-30,57.63,-0.44,-0.00744,-0.744,58.68,59.18,"December 30, 19",58.65,59.12,2425900.0,2425900.0,58.83667
2019-12-27,58.04,-0.41000000000000003,-0.00689,-0.6890000000000001,59.09,59.53,"December 27, 19",59.04,59.5,2486800.0,2486800.0,59.22
2019-12-26,57.82,0.02,0.00034,0.034,58.87,59.07,"December 26, 19",58.84,58.85,1229000.0,1229000.0,58.92667
2019-12-24,57.65,0.09,0.0015400000000000001,0.154,58.7,58.87,"December 24, 19",58.61,58.61,1128100.0,1128100.0,58.72667
2019-12-23,57.75,0.67,0.01153,1.153,58.8,58.8,"December 23, 19",58.1,58.13,2031300.0,2031300.0,58.56667
2019-12-20,57.14,-0.32,-0.00547,-0.547,58.18,58.55,"December 20, 19",58.02,58.5,4835700.0,4835700.0,58.25
2019-12-19,57.85,-0.15,-0.00254,-0.254,58.9,59.12,"December 19, 19",58.75,59.05,3162700.0,3162700.0,58.92333
2019-12-18,57.48,-0.17,-0.0029000000000000002,-0.29,58.52,58.88,"December 18, 19",58.5,58.69,3437200.0,3437200.0,58.63333
2019-12-17,57.43,-0.17,-0.0029000000000000002,-0.29,58.47,58.78,"December 17, 19",58.37,58.64,4058200.0,4058200.0,58.54
2019-12-16,57.12,-0.22,-0.0037700000000000003,-0.377,58.16,58.51,"December 16, 19",58.06,58.38,2794300.0,2794300.0,58.24333
2019-12-13,56.41,-0.66,-0.01136,-1.1360000000000001,57.44,58.33,"December 13, 19",57.34,58.1,4001800.0,4001800.0,57.70333
2019-12-12,56.73,0.39,0.0068000000000000005,0.68,57.76,57.95,"December 12, 19",57.32,57.37,2602100.0,2602100.0,57.67667
2019-12-11,56.38,0.07,0.0012200000000000002,0.122,57.4,57.54,"December 11, 19",57.18,57.33,2044600.0,2044600.0,57.37333
2019-12-10,56.34,-0.14,-0.0024300000000000003,-0.243,57.36,57.59,"December 10, 19",57.25,57.5,2066400.0,2066400.0,57.4
2019-12-09,56.25,-0.1,-0.0017400000000000002,-0.17400000000000002,57.27,57.59,"December 09, 19",57.23,57.37,1940700.0,1940700.0,57.36333
2019-12-06,56.27,0.21,0.00368,0.368,57.29,57.53,"December 06, 19",57.06,57.08,2769400.0,2769400.0,57.29333
2019-12-05,55.48,-0.5,-0.00877,-0.877,56.49,57.05,"December 05, 19",56.46,56.99,2321900.0,2321900.0,56.66667
2019-12-04,55.83,0.02,0.00035,0.035,56.84,56.96,"December 04, 19",56.68,56.82,2856800.0,2856800.0,56.82667
2019-12-03,55.21,-0.24,-0.00425,-0.425,56.21,56.52,"December 03, 19",56.03,56.45,3525400.0,3525400.0,56.25333
2019-12-02,56.11,-0.5,-0.00868,-0.868,57.13,57.66,"December 02, 19",57.06,57.63,3257300.0,3257300.0,57.28333
2019-11-29,56.46,0.02,0.00035,0.035,57.49,57.57,"November 29, 19",57.28,57.47,1478400.0,1478400.0,57.44667
2019-11-27,56.77,-0.2,-0.0034500000000000004,-0.34500000000000003,57.8,58.02,"November 27, 19",57.62,58.0,2221700.0,2221700.0,57.81333
2019-11-26,56.94,-0.43,-0.00736,-0.736,57.97,58.43,"November 26, 19",57.86,58.4,2683200.0,2683200.0,58.08667
2019-11-25,57.59,-0.23,-0.00391,-0.391,58.64,58.89,"November 25, 19",58.52,58.87,5367000.0,5367000.0,58.68333
2019-11-22,57.4,-0.5,-0.008480000000000001,-0.848,58.44,59.07,"November 22, 19",58.36,58.94,5777200.0,5777200.0,58.62333
2019-11-21,57.62,0.11,0.0018800000000000002,0.188,58.67,58.75,"November 21, 19",58.33,58.56,6554400.0,6554400.0,58.58333
2019-11-20,57.4,0.01,0.00017000000000000004,0.017,58.44,58.96,"November 20, 19",58.25,58.43,3864500.0,3864500.0,58.55
2019-11-19,57.68,-0.93,-0.015590000000000001,-1.5590000000000002,58.73,59.68,"November 19, 19",58.69,59.66,2826500.0,2826500.0,59.03333
2019-11-18,58.36,0.0,0.0,0.0,59.42,59.54,"November 18, 19",59.3,59.42,1861300.0,1861300.0,59.42
2019-11-15,58.51,0.27,0.00455,0.455,59.57,59.72,"November 15, 19",59.24,59.3,1907000.0,1907000.0,59.51
2019-11-14,58.07,-0.36,-0.006050000000000001,-0.605,59.13,59.65,"November 14, 19",58.98,59.49,2030000.0,2030000.0,59.25333
2019-11-13,58.29,0.45,0.007520000000000001,0.752,60.29,60.38,"November 13, 19",59.82,59.84,2423300.0,2423300.0,60.16333
2019-11-12,57.9,-0.36,-0.00598,-0.598,59.89,60.42,"November 12, 19",59.89,60.25,2294400.0,2294400.0,60.06667
